id,name,sex,Balletthaus,Geburtsjahr,Geburtsland
Amandine_Albissom,Amandine Albissom,1,Opéra national de Paris,1989,Frankreich
Guillaume_Diop,Guillaume Diop,2,Opéra national de Paris,2000,Frankreich
Mathieu_Ganio,Mathieu Ganio,2,Opéra national de Paris,1984,Frankreich
Dorothée_Gilbert,Dorothée Gilbert,1,Opéra national de Paris,1983,Frankreich
Valentine_Colasante,Valentine Colasante,1,Opéra national de Paris,1989,Frankreich
,,,,,
,,,,,
